program	celltype	contrast	minimum_nuclei	n_case_new	n_control_new	status_new	reason_new	p_new	effect_new	ci_low_new	ci_high_new	rank_new	columns_new	residual_df_new	q_new	n_case_old	n_control_old	status_old	reason_old	p_old	effect_old	ci_low_old	ci_high_old	rank_old	columns_old	residual_df_old	q_old
late_allcell_residual	Adipocyte	CIDP_minus_CTRL	30	6	2	NOT_EVALUABLE	fewer_than_four_donors_per_group									6	2	NOT_EVALUABLE	fewer_than_four_donors_per_group								
late_allcell_residual	Adipocyte	CIAP_minus_CTRL	30	10	2	NOT_EVALUABLE	fewer_than_four_donors_per_group									10	2	NOT_EVALUABLE	fewer_than_four_donors_per_group								
late_allcell_residual	Adipocyte	VN_minus_CTRL	30	2	2	NOT_EVALUABLE	fewer_than_four_donors_per_group									2	2	NOT_EVALUABLE	fewer_than_four_donors_per_group								
late_allcell_residual	Endoneurial	CIDP_minus_CTRL	30	9	4	NOT_EVALUABLE	residual_df_below_eight					6.0	6.0	7.0		9	4	NOT_EVALUABLE	residual_df_below_eight					6.0	6.0	7.0	
late_allcell_residual	Endoneurial	CIAP_minus_CTRL	30	11	4	COMPLETED	age_sex_center_HC3_sensitivity	0.7599482410229813	-0.0049570731534016	-0.036754567360738	0.0268404210539347	6.0	6.0	9.0	0.9996329437623444	11	4	COMPLETED	age_sex_center_HC3_sensitivity	0.6405794167037516	-0.0074900577897029	-0.0389327536507263	0.0239526380713205	6.0	6.0	9.0	0.992439062865758
late_allcell_residual	Endoneurial	VN_minus_CTRL	30	5	4	NOT_EVALUABLE	diagnosis_fully_confounded_with_center									5	4	NOT_EVALUABLE	diagnosis_fully_confounded_with_center								
late_allcell_residual	Epineurial	CIDP_minus_CTRL	30	9	4	NOT_EVALUABLE	residual_df_below_eight					6.0	6.0	7.0		9	4	NOT_EVALUABLE	residual_df_below_eight					6.0	6.0	7.0	
late_allcell_residual	Epineurial	CIAP_minus_CTRL	30	11	4	COMPLETED	age_sex_center_HC3_sensitivity	0.1965515171725216	-0.0131838138640408	-0.0331923482696959	0.0068247205416142	6.0	6.0	9.0	0.9996329437623444	11	4	COMPLETED	age_sex_center_HC3_sensitivity	0.1459746708591949	-0.0134733955222908	-0.0316365510117185	0.0046897599671369	6.0	6.0	9.0	0.992439062865758
late_allcell_residual	Epineurial	VN_minus_CTRL	30	5	4	NOT_EVALUABLE	diagnosis_fully_confounded_with_center									5	4	NOT_EVALUABLE	diagnosis_fully_confounded_with_center								
late_allcell_residual	Granulocyte	CIDP_minus_CTRL	30	0	0	NOT_EVALUABLE	fewer_than_four_donors_per_group									0	0	NOT_EVALUABLE	fewer_than_four_donors_per_group								
late_allcell_residual	Granulocyte	CIAP_minus_CTRL	30	2	0	NOT_EVALUABLE	fewer_than_four_donors_per_group									2	0	NOT_EVALUABLE	fewer_than_four_donors_per_group								
late_allcell_residual	Granulocyte	VN_minus_CTRL	30	0	0	NOT_EVALUABLE	fewer_than_four_donors_per_group									0	0	NOT_EVALUABLE	fewer_than_four_donors_per_group								
late_allcell_residual	Lymphatic_endothelial	CIDP_minus_CTRL	30	4	2	NOT_EVALUABLE	fewer_than_four_donors_per_group									4	2	NOT_EVALUABLE	fewer_than_four_donors_per_group								
late_allcell_residual	Lymphatic_endothelial	CIAP_minus_CTRL	30	6	2	NOT_EVALUABLE	fewer_than_four_donors_per_group									6	2	NOT_EVALUABLE	fewer_than_four_donors_per_group								
late_allcell_residual	Lymphatic_endothelial	VN_minus_CTRL	30	0	2	NOT_EVALUABLE	fewer_than_four_donors_per_group									0	2	NOT_EVALUABLE	fewer_than_four_donors_per_group								
late_allcell_residual	Lymphoid	CIDP_minus_CTRL	30	8	4	NOT_EVALUABLE	residual_df_below_eight					6.0	6.0	6.0		8	4	NOT_EVALUABLE	residual_df_below_eight					6.0	6.0	6.0	
late_allcell_residual	Lymphoid	CIAP_minus_CTRL	30	11	4	COMPLETED	age_sex_center_HC3_sensitivity	0.3447079760746169	0.0197813760385051	-0.0212500849134525	0.0608128369904628	6.0	6.0	9.0	0.9996329437623444	11	4	COMPLETED	age_sex_center_HC3_sensitivity	0.3434832185499776	0.0199524453878803	-0.0213289380917102	0.0612338288674709	6.0	6.0	9.0	0.992439062865758
late_allcell_residual	Lymphoid	VN_minus_CTRL	30	5	4	NOT_EVALUABLE	diagnosis_fully_confounded_with_center									5	4	NOT_EVALUABLE	diagnosis_fully_confounded_with_center								
late_allcell_residual	Macrophage	CIDP_minus_CTRL	30	9	4	NOT_EVALUABLE	residual_df_below_eight					6.0	6.0	7.0		9	4	NOT_EVALUABLE	residual_df_below_eight					6.0	6.0	7.0	
late_allcell_residual	Macrophage	CIAP_minus_CTRL	30	11	4	COMPLETED	age_sex_center_HC3_sensitivity	0.3480869834182558	-0.0076102944481004	-0.0235069177610059	0.008286328864805	6.0	6.0	9.0	0.9996329437623444	11	4	COMPLETED	age_sex_center_HC3_sensitivity	0.3228328637448124	-0.0103400935037876	-0.0308389009067311	0.0101587138991557	6.0	6.0	9.0	0.992439062865758
