resource	comparison	module_id	component	n_positive_old	n_negative_old	effect_positive_minus_negative_old	ci_low_old	ci_high_old	p_old	exact_old	permutations_old	status_old	q_family_old	n_positive_corrected	n_negative_corrected	effect_positive_minus_negative_corrected	ci_low_corrected	ci_high_corrected	p_corrected	exact_corrected	permutations_corrected	status_corrected	q_family_corrected	delta_effect_corrected_minus_old
GSE143979	AH DPN minus MNC	late_allcell_residual	S	4	3	0.0073707609113182	-0.0277086860771234	0.0462201030806837	0.7142857142857143	True	35	COMPLETED	0.7865546218487396	4	3	0.004444605410029445	-0.019660295181054957	0.030792849917653867	0.7714285714285715	True	35	COMPLETED	0.8168067226890757	-0.002926155501288755
GSE143979	AH DPN minus MNC	late_allcell_residual	U	4	3	0.0003269730520431	-0.0191101220116007	0.0203992308679214	1.0	True	35	COMPLETED	1.0	4	3	0.011006355217875963	-0.006619890897799207	0.031591500454742294	0.42857142857142855	True	35	COMPLETED	0.5640552995391704	0.010679382165832862
GSE143979	AH DPN minus MNC	late_allcell_residual	D	4	3	-0.0070437878592752	-0.0231078207195629	0.0082755492365386	0.4857142857142857	True	35	COMPLETED	0.7516483516483516	4	3	0.0065617498078465175	-0.002197677426818023	0.014351973720162392	0.3142857142857143	True	35	COMPLETED	0.5142857142857142	0.013605537667121716
GSE143979	AH DPN minus MNC	late_neuron_residual	S	4	3	-0.0106812985387288	-0.0320345997008394	0.0040146970601915	0.3714285714285714	True	35	COMPLETED	0.6545454545454545	4	3	-0.0028210409025609534	-0.016704745249504438	0.007400224051617841	0.7142857142857143	True	35	COMPLETED	0.8168067226890757	0.007860257636167847
GSE143979	AH DPN minus MNC	late_neuron_residual	U	4	3	0.0078851484263233	-0.0054156800355187	0.0213162430319174	0.3428571428571428	True	35	COMPLETED	0.6857142857142857	4	3	0.01661776076131516	0.0022941651570455024	0.03306985374816117	0.14285714285714285	True	35	COMPLETED	0.45000000000000007	0.00873261233499186
GSE143979	AH DPN minus MNC	late_neuron_residual	D	4	3	0.018566446965052	0.0080054414469651	0.029111932863274	0.0285714285714285	True	35	COMPLETED	0.5445378151260504	4	3	0.019438801663875904	0.009436634511086062	0.02939921466408968	0.02857142857142857	True	35	COMPLETED	0.45000000000000007	0.0008723546988239038
GSE143979	AH DPN minus MNC	late_shared_concordant_neuronal_core	S	4	3	-0.0114736827998994	-0.049602541382086	0.0243736981477856	0.6285714285714286	True	35	COMPLETED	0.7865546218487396	4	3	-0.0041551534177094035	-0.029238142473511503	0.015194604717169331	0.7428571428571429	True	35	COMPLETED	0.8168067226890757	0.007318529382189997
GSE143979	AH DPN minus MNC	late_shared_concordant_neuronal_core	U	4	3	0.0092616520988171	-0.019381809597334	0.035598819306326	0.5428571428571428	True	35	COMPLETED	0.7516483516483516	4	3	0.018008702483762518	-0.004074834173106834	0.03965757597680408	0.2857142857142857	True	35	COMPLETED	0.5142857142857142	0.008747050384945417
GSE143979	AH DPN minus MNC	late_shared_concordant_neuronal_core	D	4	3	0.0207353348987166	0.0024234081490638	0.0402869134996163	0.2571428571428571	True	35	COMPLETED	0.5445378151260504	4	3	0.022163855901471963	0.006156429108630124	0.04009914721282282	0.11428571428571428	True	35	COMPLETED	0.45000000000000007	0.001428521002755364
GSE143979	AH DPN minus MNC	original_early_allcell	S	4	3	0.0199904347393509	-0.0334483731141299	0.071440225648073	0.5714285714285714	True	35	COMPLETED	0.7865546218487396	4	3	0.014626714058526743	-0.018260977794887775	0.0464728414173839	0.4857142857142857	True	35	COMPLETED	0.7912087912087912	-0.005363720680824158
GSE143979	AH DPN minus MNC	original_early_allcell	U	4	3	0.0224918327716486	-0.0064548708125702	0.050543501742662	0.2571428571428571	True	35	COMPLETED	0.5445378151260504	4	3	0.024597934378941533	0.006848201672378429	0.04188718141126039	0.08571428571428572	True	35	COMPLETED	0.45000000000000007	0.002106101607292934
GSE143979	AH DPN minus MNC	original_early_allcell	D	4	3	0.0025013980322979	-0.0250647016167164	0.0320908084491161	0.8571428571428571	True	35	COMPLETED	0.935064935064935	4	3	0.009971220320414864	-0.009433595063659816	0.031882502846068195	0.45714285714285713	True	35	COMPLETED	0.5640552995391704	0.0074698222881169635
GSE143979	AH DPN minus MNC	original_late_allcell	S	4	3	0.0068713585849244	-0.02790032951608	0.0424934991416622	0.7428571428571429	True	35	COMPLETED	0.7865546218487396	4	3	0.004301692328245302	-0.018647011361127674	0.027779332726686742	0.7428571428571429	True	35	COMPLETED	0.8168067226890757	-0.002569666256679098
GSE143979	AH DPN minus MNC	original_late_allcell	U	4	3	0.0010264694264219	-0.01965073726498	0.0226751420597609	0.9428571428571428	True	35	COMPLETED	0.9983193277310924	4	3	0.011482982457352131	-0.005608679739897315	0.03242418416893755	0.34285714285714286	True	35	COMPLETED	0.5142857142857143	0.010456513030930231
GSE143979	AH DPN minus MNC	original_late_allcell	D	4	3	-0.0058448891585024	-0.0217658833024227	0.0093103701115452	0.5428571428571428	True	35	COMPLETED	0.7516483516483516	4	3	0.007181290129106954	-0.0015938531816082069	0.015027719923814575	0.3142857142857143	True	35	COMPLETED	0.5142857142857142	0.013026179287609355
GSE143979	AH DPN minus MNC	original_late_neuron	S	4	3	-0.0124587198739743	-0.0351466439169379	0.0050893436922213	0.3714285714285714	True	35	COMPLETED	0.6545454545454545	4	3	-0.005113517582592958	-0.017791455037015166	0.005022430342549233	0.5142857142857142	True	35	COMPLETED	0.7912087912087912	0.007345202291381341
GSE143979	AH DPN minus MNC	original_late_neuron	U	4	3	0.0079375052085504	-0.0084118088253676	0.0242423295415086	0.4285714285714285	True	35	COMPLETED	0.7346938775510203	4	3	0.015445423862543994	0.0022821975037399475	0.029709145537406032	0.08571428571428572	True	35	COMPLETED	0.45000000000000007	0.007507918653993594
