gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_recovered_from_excel_date	direction	passes_fdr_0_05	passes_abs_log2fc_0_585	primary_signature_member	source_sheet	contrast_id	biological_level	effect_orientation	evidence_status	gene_input	human_gene_id	mapping_method	current_human_symbol	target_current_symbol	baseMean	target_log2FoldChange	target_stat	target_padj	target_source_symbol	mapped_to_target_universe
ABI3	3.64e-15	-0.764865395	0.108	0.17	6.76e-11	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	ABI3	51225	official_exact	ABI3	ABI3	1243.45636437552	-0.153476633514731	-0.512103050674099	0.921723197955859	ABI3	True
ABTB3	1.08e-11	-1.44353696	0.012	0.028	2e-07	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	ABTB3	121551	official_exact	ABTB3	ABTB3	3360.41797338054	-0.106571220946092	-0.578735759794614	0.806213714743333	BTBD11	True
ACAP1	1.29e-08	-0.822667821	0.026	0.042	0.000240237	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	ACAP1	9744	official_exact	ACAP1	ACAP1	860.196615994686	-0.0585445122139561	-0.206837228960512	0.858425886538039	ACAP1	True
ACTMAP	3.95e-11	-0.920982195	0.011	0.02	7.34e-07	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	ACTMAP	284325	official_exact	ACTMAP	ACTMAP	993.001380842136	-0.0443014753726259	-0.266473229880021	0.824137186015579	C19orf54	True
ADGRG5	9.62e-09	-1.169518496	0.024	0.046	0.000178727	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	ADGRG5	221188	official_exact	ADGRG5	ADGRG5	508.865374171751	-0.624417340482238	-1.7158480840699	0.3102315160939	ADGRG5	True
ADSS2	5.69e-09	-1.766576184	0.044	0.134	0.000105683	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	ADSS2	159	official_exact	ADSS2	ADSS2	6449.22728506766	-0.072891974978731	-0.574345798146258	0.902550491302356	ADSS	True
AEN	1.12e-08	-0.629090631	0.088	0.146	0.000208147	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	AEN	64782	official_exact	AEN	AEN	1735.98036197552	0.285943225759271	1.18835210377119	0.613842684636274	AEN	True
AIF1	3.52e-15	-1.380830602	0.069	0.191	6.53e-11	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	AIF1	199	official_exact	AIF1	AIF1	7317.58648111895	0.589843270132928	2.70492392484044	0.110532133737382	AIF1	True
AKR1A1	2.03e-14	-0.745850322	0.221	0.33	3.78e-10	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	AKR1A1	10327	official_exact	AKR1A1	AKR1A1	8046.08810549833	0.0401138047557144	0.215791340067715	1.0	AKR1A1	True
ALYREF	2.36e-10	-0.727540562	0.069	0.118	4.38e-06	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	ALYREF	10189	official_exact	ALYREF	ALYREF	1110.89273248439	-0.152280954895035	-0.584060515151368	0.724312140929777	ALYREF	True
